model,weight_GB_fp16,weight_GB_4bit,compression,ppl_fp16,ppl_gptq,delta_ppl,tok_per_s_fp16,tok_per_s_gptq,note
SmolLM2-1.7B,3.42,0.202,16.97,6.2,6.99,0.79,39.7,5.6,
Qwen2-0.5B,0.99,0.272,3.63,11.978,13.254,1.276,44.2,19.3,
